y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44
39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,30,17,29,17,28,17,27,17,26,17,25,17,24,17,24,16,23,16,22,16,21,16,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,32,17,31,17,30,17,29,17,28,17,27,17,26,17,25,17,24,17,24,16,23,16,22,16,21,16,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,27,17,26,17,25,17,24,17,23,17,22,17,21,17,20,17,19,17,18,17,17,17,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,23,18,22,18,21,18,20,18,19,18,18,18,17,18,16,18,15,18,14,18,14,17,13,17,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,26,17,25,17,24,17,23,17,22,17,21,17,20,17,19,17,18,17,17,17,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,23,18,22,18,21,18,20,18,19,18,18,18,18,17,17,17,16,17,15,17,14,17,13,17,12,17,11,17,10,17,9,17,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,18,39,18,38,18,37,18,36,18,36,17,35,17,34,17,33,17,33,16,32,16,32,15,31,15,30,15,29,15,28,15,27,15,26,15,25,15,24,15,23,15,22,15,21,15,20,15,19,15,18,15,17,15,16,15,15,15,14,15,13,15,12,15,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,23,18,22,18,21,18,20,18,19,18,18,18,17,18,16,18,15,18,14,18,13,18,12,18,12,17,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,18,39,18,38,18,38,17,37,17,36,17,35,17,34,17,33,17,32,17,31,17,30,17,29,17,28,17,27,17,26,17,25,17,24,17,23,17,22,17,21,17,20,17,19,17,18,17,18,16,17,16,17,15,16,15,15,15,14,15,13,15,12,15,11,15,10,15,9,15,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,24,17,23,17,22,17,21,17,20,17,19,17,18,17,17,17,16,17,15,17,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,24,19,23,19,22,19,21,19,20,19,19,19,18,19,17,19,16,19,15,19,15,18,14,18,13,18,13,17,12,17,11,17,10,17,9,17,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,23,18,22,18,21,18,20,18,19,18,18,18,17,18,17,17,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
