y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45
39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,29,35,28,35,27,35,26,35,25,35,24,35,23,35,22,35,22,34,21,34,20,34,19,34,18,34,18,33,17,33,16,33,15,33,14,33,13,33,12,33,11,33,11,34,10,34,9,34,9,35,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,32,37,31,37,30,37,29,37,28,37,27,37,26,37,25,37,24,37,23,37,22,37,21,37,20,37,19,37,18,37,17,37,16,37,15,37,14,37,13,37,12,37,11,37,10,37,9,37,8,37,7,37,6,37,5,37,4,37,3,37,2,37,1,37,1,36,0,36
39,36,38,36,37,36,36,36,36,35,35,35,34,35,33,35,32,35,32,34,31,34,31,33,30,33,29,33,28,33,27,33,26,33,25,33,24,33,23,33,23,34,22,34,21,34,20,34,19,34,18,34,17,34,16,34,15,34,15,35,14,35,13,35,12,35,11,35,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,29,37,28,37,27,37,26,37,25,37,24,37,23,37,22,37,22,38,21,38,20,38,19,38,18,38,17,38,16,38,15,38,14,38,14,37,13,37,12,37,11,37,10,37,9,37,8,37,7,37,6,37,5,37,4,37,3,37,2,37,2,36,1,36,0,36
39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,31,35,30,35,30,34,29,34,28,34,27,34,26,34,25,34,24,34,23,34,22,34,21,34,20,34,20,35,19,35,18,35,17,35,17,36,16,36,15,36,14,36,13,36,12,36,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,28,36,27,36,26,36,25,36,24,36,23,36,22,36,21,36,20,36,19,36,19,37,18,37,18,38,17,38,16,38,15,38,14,38,13,38,13,37,12,37,11,37,10,37,9,37,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,28,36,27,36,26,36,25,36,24,36,24,35,23,35,22,35,21,35,20,35,19,35,18,35,17,35,16,35,15,35,14,35,13,35,12,35,11,35,10,35,9,35,8,35,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,28,36,27,36,26,36,25,36,24,36,23,36,22,36,22,37,21,37,20,37,19,37,19,38,19,39,18,39,17,39,16,39,16,38,15,38,14,38,13,38,12,38,11,38,10,38,9,38,8,38,8,37,7,37,6,37,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,28,36,28,37,27,37,26,37,25,37,24,37,23,37,22,37,21,37,20,37,19,37,18,37,17,37,16,37,15,37,14,37,13,37,12,37,11,37,10,37,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,36,38,36,38,35,37,35,36,35,35,35,34,35,33,35,32,35,32,34,31,34,30,34,30,33,30,34,29,34,28,34,27,34,26,34,25,34,24,34,23,34,22,34,22,35,21,35,20,35,19,35,18,35,17,35,16,35,15,35,14,35,13,35,12,35,11,35,10,35,9,35,8,35,7,35,6,35,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,28,36,27,36,26,36,25,36,24,36,23,36,22,36,21,36,21,35,21,34,21,35,20,35,19,35,18,35,17,35,16,35,15,35,14,35,13,35,12,35,11,35,10,35,9,35,8,35,7,35,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,35,35,34,35,33,35,32,35,31,35,30,35,29,35,28,35,27,35,26,35,25,35,24,35,23,35,22,35,21,35,20,35,19,35,18,35,17,35,16,35,15,35,15,36,14,36,13,36,12,36,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,30,37,29,37,28,37,28,38,27,38,26,38,25,38,24,38,23,38,22,38,21,38,20,38,19,38,18,38,17,38,16,38,15,38,15,37,15,36,14,36,13,36,12,36,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,33,37,32,37,31,37,30,37,29,37,28,37,27,37,26,37,25,37,24,37,24,38,23,38,22,38,21,38,20,38,19,38,19,37,18,37,17,37,16,37,15,37,14,37,13,37,12,37,11,37,10,37,9,37,8,37,7,37,6,37,5,37,4,37,3,37,2,37,2,36,1,36,0,36
39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,31,37,30,37,29,37,28,37,27,37,26,37,25,37,24,37,24,38,23,38,23,37,22,37,22,36,21,36,20,36,19,36,18,36,17,36,16,36,15,36,14,36,13,36,12,36,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,30,37,29,37,28,37,27,37,26,37,25,37,25,38,24,38,23,38,22,38,21,38,20,38,19,38,18,38,17,38,16,38,15,38,14,38,13,38,12,38,11,38,10,38,9,38,9,37,8,37,7,37,6,37,5,37,5,36,4,36,3,36,2,36,1,36,0,36
39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,28,36,27,36,26,36,25,36,24,36,23,36,22,36,21,36,20,36,19,36,18,36,17,36,16,36,15,36,15,37,14,37,13,37,13,38,12,38,11,38,10,38,9,38,9,37,8,37,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,32,35,32,34,31,34,30,34,29,34,28,34,27,34,26,34,25,34,24,34,24,35,23,35,22,35,21,35,20,35,20,36,19,36,18,36,17,36,16,36,15,36,14,36,13,36,12,36,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,36,38,36,38,35,37,35,36,35,35,35,34,35,33,35,32,35,31,35,30,35,29,35,28,35,27,35,26,35,25,35,24,35,23,35,22,35,22,34,21,34,20,34,19,34,18,34,18,33,17,33,16,33,15,33,14,33,14,34,13,34,12,34,11,34,10,34,9,34,8,34,7,34,7,35,6,35,5,35,4,35,3,35,2,35,2,36,1,36,0,36
39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,28,36,28,37,27,37,26,37,25,37,24,37,23,37,23,38,22,38,21,38,20,38,19,38,18,38,17,38,17,37,16,37,15,37,14,37,13,37,12,37,11,37,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,28,36,27,36,26,36,25,36,24,36,23,36,22,36,21,36,20,36,20,35,19,35,18,35,17,35,16,35,15,35,14,35,14,34,13,34,13,33,13,34,13,35,12,35,11,35,10,35,9,35,8,35,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,29,35,28,35,27,35,26,35,25,35,24,35,23,35,22,35,21,35,20,35,19,35,18,35,17,35,16,35,15,35,14,35,13,35,12,35,12,36,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,29,37,28,37,28,38,27,38,26,38,25,38,24,38,23,38,22,38,21,38,20,38,19,38,18,38,17,38,16,38,15,38,14,38,13,38,12,38,11,38,11,37,10,37,9,37,8,37,7,37,6,37,5,37,5,36,4,36,3,36,2,36,1,36,0,36
39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,36,37,35,37,34,37,33,37,32,37,31,37,30,37,29,37,28,37,27,37,26,37,25,37,24,37,23,37,22,37,21,37,20,37,19,37,18,37,17,37,16,37,15,37,14,37,13,37,12,37,11,37,10,37,9,37,8,37,7,37,6,37,5,37,5,36,4,36,3,36,2,36,1,36,0,36
39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,32,35,31,35,30,35,29,35,28,35,27,35,26,35,25,35,24,35,23,35,22,35,21,35,20,35,19,35,18,35,17,35,16,35,15,35,14,35,13,35,12,35,12,36,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
